Server	Connectivity with "ncrvoyix.saas.appdynamics.com -Port 443"
sun1205	FAIL
sun1216	SUCCESS
sun1256	SUCCESS
sun1290	DNS_FAIL
sun1294	SUCCESS
sun1317	SUCCESS
sun1350	FAIL
sun1383	DNS_FAIL
sun1384	DNS_FAIL
sun1473	AUTH_FAIL
sun1508	SUCCESS
sun1586	SUCCESS
sun1597	SUCCESS
sun1830	DNS_FAIL
sun1880	SUCCESS
sun1881	SUCCESS
sun1882	SUCCESS
sun1884	SUCCESS
sun1889	SUCCESS
sun2201	SUCCESS
sun2202	SUCCESS
sun2204	SUCCESS
sun2205	SUCCESS
sun2206	SUCCESS
sun2304	SUCCESS
sun2305	SUCCESS
sun2306	SUCCESS
sun2502	SUCCESS
sun2580	FAIL
sun2581	SUCCESS
sun3051	FAIL
sun3151	FAIL
SUN3268	DNS_FAIL
sun3664	SUCCESS
sun3716	FAIL
sun3717	FAIL
sun4041	SUCCESS
sun4141	SUCCESS
sun4146	SUCCESS
sun4351	FAIL
sun4874	DNS_FAIL
sun5556	SUCCESS
sun5561	SUCCESS
sun5562	SUCCESS
sun5901	SUCCESS
sun5902	SUCCESS
sun5903	SUCCESS
sun5904	SUCCESS
sun5905	SUCCESS
sun5906	SUCCESS
sun6468	SUCCESS
sun6901	SUCCESS
sun6902	SUCCESS
sun6903	SUCCESS
sun6904	SUCCESS
sun6905	SUCCESS
sun6906	SUCCESS
sun6907	SUCCESS
sun1086	DNS_FAIL
sun1089	SUCCESS
sun1135	SUCCESS
sun1155	SUCCESS
sun1207	SUCCESS
sun1269	SUCCESS
sun1276	SUCCESS
sun1277	FAIL
sun1293	SUCCESS
sun1315	SUCCESS
sun1316	SUCCESS
sun1330	FAIL
sun1333	SUCCESS
sun1340	SUCCESS
sun1341	SUCCESS
sun1351	FAIL
sun1395	SUCCESS
sun1403	SUCCESS
sun1491	SUCCESS
sun1501	FAIL
sun1509	SUCCESS
sun1593	SUCCESS
sun1824-cd	DNS_FAIL
sun1843	SUCCESS
sun1880-cd	SUCCESS
sun1881-cd	SUCCESS
sun1882-cd	SUCCESS
sun1884-cd	SUCCESS
sun1886-cd	SUCCESS
sun1887-cd	SUCCESS
sun1889-cd	SUCCESS
sun2001	SUCCESS
sun2002	SUCCESS
sun2004	SUCCESS
sun2005	SUCCESS
sun2006	SUCCESS
sun2104	SUCCESS
sun2105	SUCCESS
sun2106	SUCCESS
sun3665	SUCCESS
sun3674	FAIL
sun3899	DNS_FAIL
sun4340	SUCCESS
sun4341	SUCCESS
sun4342	SUCCESS
sun4343	SUCCESS
sun4395	SUCCESS
sun4403	SUCCESS
sun4584	SUCCESS
sun4875	DNS_FAIL
sun5104	SUCCESS
sun5105	SUCCESS
sun5901-cd	SUCCESS
sun5902-cd	SUCCESS
sun5903-cd	SUCCESS
sun5904-cd	SUCCESS
sun5905-cd	SUCCESS
sun5906-cd	SUCCESS
sun6467	SUCCESS
sun6567	SUCCESS
sun6568	SUCCESS
sun6901-cd	SUCCESS
sun6902-cd	SUCCESS
sun6903-cd	SUCCESS
sun6904-cd	SUCCESS
sun6905-cd	SUCCESS
sun6906-cd	SUCCESS
sun6907-cd	SUCCESS
sun9306	SUCCESS
